structure,n,trial,total_ns,ns_per_push,median_push_ns,p95_push_ns,p99_push_ns,max_push_ns,random_access_ns,checksum,estimated_bytes
BaselineArray,17,6,500,29.412,0,100,100,100,100,2356116883344654828,128
ResizableArray,17,7,500,29.412,0,100,100,100,200,2356116883344654828,384
BaselineArray,17,7,500,29.412,100,100,100,100,200,2356116883344654828,128
ResizableArray,17,8,500,29.412,0,100,100,100,200,2356116883344654828,384
BaselineArray,17,8,500,29.412,0,100,100,100,100,2356116883344654828,128
ResizableArray,17,9,400,23.529,0,100,100,100,100,2356116883344654828,384
BaselineArray,17,9,400,23.529,0,100,100,100,100,2356116883344654828,128
ResizableArray,31,0,600,19.355,0,100,100,100,300,11098387413524487033,384
BaselineArray,31,0,500,16.129,0,100,100,100,100,11098387413524487033,128
ResizableArray,31,1,600,19.355,0,100,100,100,300,11098387413524487033,384
BaselineArray,31,1,400,12.903,0,100,100,100,200,11098387413524487033,128
ResizableArray,31,2,600,19.355,0,100,100,100,300,11098387413524487033,384
BaselineArray,31,2,400,12.903,0,100,100,100,100,11098387413524487033,128
ResizableArray,31,3,600,19.355,0,100,100,100,200,11098387413524487033,384
BaselineArray,31,3,500,16.129,0,100,100,100,100,11098387413524487033,128
ResizableArray,31,4,600,19.355,0,100,100,100,200,11098387413524487033,384
BaselineArray,31,4,500,16.129,0,100,100,100,100,11098387413524487033,128
ResizableArray,31,5,600,19.355,0,100,100,100,200,11098387413524487033,384
BaselineArray,31,5,500,16.129,0,100,100,100,200,11098387413524487033,128
ResizableArray,31,6,600,19.355,0,100,100,100,200,11098387413524487033,384
BaselineArray,31,6,400,12.903,0,100,100,100,100,11098387413524487033,128
ResizableArray,31,7,500,16.129,0,100,100,100,200,11098387413524487033,384
BaselineArray,31,7,500,16.129,0,100,100,100,200,11098387413524487033,128
ResizableArray,31,8,500,16.129,0,100,100,100,200,11098387413524487033,384
BaselineArray,31,8,500,16.129,0,100,100,100,200,11098387413524487033,128
ResizableArray,31,9,500,16.129,0,100,100,100,200,11098387413524487033,384
BaselineArray,31,9,400,12.903,0,100,100,100,200,11098387413524487033,128
ResizableArray,32,0,500,15.625,0,100,100,100,100,1215877606962778092,256
BaselineArray,32,0,500,15.625,0,100,100,100,200,1215877606962778092,128
ResizableArray,32,1,600,18.750,100,100,100,100,200,1215877606962778092,256
BaselineArray,32,1,400,12.500,0,100,100,100,100,1215877606962778092,128
ResizableArray,32,2,600,18.750,0,100,100,100,200,1215877606962778092,256
BaselineArray,32,2,400,12.500,0,100,100,100,100,1215877606962778092,128
ResizableArray,32,3,600,18.750,0,100,100,100,200,1215877606962778092,256
BaselineArray,32,3,500,15.625,0,100,100,100,200,1215877606962778092,128
ResizableArray,32,4,600,18.750,0,100,100,100,100,1215877606962778092,256
BaselineArray,32,4,500,15.625,0,100,100,100,200,1215877606962778092,128
ResizableArray,32,5,600,18.750,0,100,100,100,200,1215877606962778092,256
BaselineArray,32,5,400,12.500,0,100,100,100,100,1215877606962778092,128
ResizableArray,32,6,600,18.750,0,100,100,100,100,1215877606962778092,256
BaselineArray,32,6,500,15.625,0,100,100,100,200,1215877606962778092,128
ResizableArray,32,7,600,18.750,0,100,100,100,100,1215877606962778092,256
BaselineArray,32,7,400,12.500,0,100,100,100,100,1215877606962778092,128
ResizableArray,32,8,600,18.750,0,100,100,100,100,1215877606962778092,256
BaselineArray,32,8,400,12.500,0,100,100,100,200,1215877606962778092,128
ResizableArray,32,9,600,18.750,0,100,100,100,100,1215877606962778092,256
BaselineArray,32,9,500,15.625,0,100,100,100,100,1215877606962778092,128
ResizableArray,33,0,800,24.242,0,100,100,100,200,6158521484517949110,768
BaselineArray,33,0,500,15.152,0,100,100,100,200,6158521484517949110,256
ResizableArray,33,1,700,21.212,0,100,100,100,200,6158521484517949110,768
BaselineArray,33,1,500,15.152,0,100,100,100,100,6158521484517949110,256
ResizableArray,33,2,600,18.182,0,100,100,100,200,6158521484517949110,768
BaselineArray,33,2,500,15.152,0,100,100,100,200,6158521484517949110,256
ResizableArray,33,3,600,18.182,0,100,100,100,200,6158521484517949110,768
BaselineArray,33,3,500,15.152,0,100,100,100,100,6158521484517949110,256
ResizableArray,33,4,700,21.212,0,100,100,100,200,6158521484517949110,768
BaselineArray,33,4,500,15.152,0,100,100,100,200,6158521484517949110,256
ResizableArray,33,5,700,21.212,0,100,100,100,200,6158521484517949110,768
BaselineArray,33,5,500,15.152,0,100,100,100,200,6158521484517949110,256
ResizableArray,33,6,700,21.212,0,100,100,100,200,6158521484517949110,768
BaselineArray,33,6,500,15.152,0,100,100,100,200,6158521484517949110,256
ResizableArray,33,7,600,18.182,0,100,100,100,200,6158521484517949110,768
BaselineArray,33,7,500,15.152,0,100,100,100,200,6158521484517949110,256
ResizableArray,33,8,700,21.212,0,100,100,100,300,6158521484517949110,768
BaselineArray,33,8,500,15.152,0,100,100,100,200,6158521484517949110,256
ResizableArray,33,9,700,21.212,0,100,100,100,200,6158521484517949110,768
BaselineArray,33,9,500,15.152,0,100,100,100,100,6158521484517949110,256
ResizableArray,63,0,900,14.286,0,100,100,100,500,17292601110330596212,768
BaselineArray,63,0,700,11.111,0,100,100,100,300,17292601110330596212,256
ResizableArray,63,1,1000,15.873,0,100,100,100,500,17292601110330596212,768
BaselineArray,63,1,700,11.111,0,100,100,100,300,17292601110330596212,256
ResizableArray,63,2,900,14.286,0,100,100,100,400,17292601110330596212,768
BaselineArray,63,2,600,9.524,0,100,100,100,300,17292601110330596212,256
ResizableArray,63,3,900,14.286,0,100,100,100,400,17292601110330596212,768
BaselineArray,63,3,700,11.111,0,100,100,100,300,17292601110330596212,256
ResizableArray,63,4,900,14.286,0,100,100,100,400,17292601110330596212,768
BaselineArray,63,4,700,11.111,0,100,100,100,300,17292601110330596212,256
ResizableArray,63,5,1000,15.873,0,100,100,100,500,17292601110330596212,768
BaselineArray,63,5,700,11.111,0,100,100,100,300,17292601110330596212,256
ResizableArray,63,6,900,14.286,0,100,100,100,400,17292601110330596212,768
BaselineArray,63,6,800,12.698,0,100,100,100,200,17292601110330596212,256
ResizableArray,63,7,900,14.286,0,100,100,100,400,17292601110330596212,768
BaselineArray,63,7,600,9.524,0,100,100,100,300,17292601110330596212,256
ResizableArray,63,8,900,14.286,0,100,100,100,300,17292601110330596212,768
BaselineArray,63,8,600,9.524,0,100,100,100,300,17292601110330596212,256
ResizableArray,63,9,900,14.286,0,100,100,100,400,17292601110330596212,768
BaselineArray,63,9,600,9.524,0,100,100,100,300,17292601110330596212,256
ResizableArray,64,0,900,14.062,0,100,100,100,300,4156725595335982427,512
BaselineArray,64,0,700,10.938,0,100,100,100,400,4156725595335982427,256
ResizableArray,64,1,1000,15.625,0,100,100,100,200,4156725595335982427,512
BaselineArray,64,1,700,10.938,0,100,100,100,300,4156725595335982427,256
ResizableArray,64,2,1100,17.188,0,100,100,100,300,4156725595335982427,512
BaselineArray,64,2,800,12.500,0,100,100,100,300,4156725595335982427,256
ResizableArray,64,3,1000,15.625,0,100,100,100,300,4156725595335982427,512
BaselineArray,64,3,600,9.375,0,100,100,100,300,4156725595335982427,256
ResizableArray,64,4,1000,15.625,0,100,100,100,200,4156725595335982427,512
BaselineArray,64,4,800,12.500,0,100,100,100,300,4156725595335982427,256
ResizableArray,64,5,1000,15.625,0,100,100,100,200,4156725595335982427,512
BaselineArray,64,5,800,12.500,0,100,100,100,300,4156725595335982427,256
ResizableArray,64,6,1000,15.625,0,100,100,100,200,4156725595335982427,512
BaselineArray,64,6,700,10.938,0,100,100,100,300,4156725595335982427,256
ResizableArray,64,7,1000,15.625,0,100,100,100,300,4156725595335982427,512
BaselineArray,64,7,700,10.938,0,100,100,100,300,4156725595335982427,256
ResizableArray,64,8,900,14.062,0,100,100,100,300,4156725595335982427,512
BaselineArray,64,8,600,9.375,0,100,100,100,300,4156725595335982427,256
ResizableArray,64,9,900,14.062,0,100,100,100,300,4156725595335982427,512
BaselineArray,64,9,700,10.938,0,100,100,100,300,4156725595335982427,256
ResizableArray,65,0,1000,15.385,0,100,100,100,400,12710666143234758476,1536
BaselineArray,65,0,800,12.308,0,100,100,100,300,12710666143234758476,512
ResizableArray,65,1,1000,15.385,0,100,100,100,300,12710666143234758476,1536
BaselineArray,65,1,800,12.308,0,100,100,100,300,12710666143234758476,512
ResizableArray,65,2,1000,15.385,0,100,100,100,400,12710666143234758476,1536
BaselineArray,65,2,800,12.308,0,100,100,100,300,12710666143234758476,512
ResizableArray,65,3,1000,15.385,0,100,100,100,300,12710666143234758476,1536
BaselineArray,65,3,800,12.308,0,100,200,200,300,12710666143234758476,512
ResizableArray,65,4,1100,16.923,0,100,100,100,400,12710666143234758476,1536
BaselineArray,65,4,700,10.769,0,100,100,100,300,12710666143234758476,512
ResizableArray,65,5,1000,15.385,0,100,100,100,300,12710666143234758476,1536
BaselineArray,65,5,700,10.769,0,100,100,100,300,12710666143234758476,512
